Author_Id,Author_Name,Author_Surename
"31705","Cezary","Orłowski"
"31706","Józef","Judycki"
"31707","Mariusz","Jaczewski"
"31708","Paweł","Szymański"
"31709","Łukasz","Pancewicz"
"31710","Cezary","Orłowski"
"31711","Andrzej","Tejchman"
"31712","Krystyna","Gomółka"
"31713","Ziemowit","Suligowski"
"31714","Włodzimierz","Zieniutycz"
"31715","Dariusz","Dereniowski"
"31716","Wiesław","Kubiak"
"31717","Yori","Zwols"
"31718","Piotr","Kowalik"
"31719","Zbigniew","Korczewski"
"31720","Andrzej","Kaczmarski"
"31721","Karol","Niklas"
"31722","Wladyslaw","Wedzinski"
"31723","Grzegorz","Kostro"
"31724","Izabela","Lubowiecka"
"31725","Agnieszka","Tomaszewska"
"31726","Czesław","Szymczak"
"31727","Wladyslaw","Wedzinski"
"31728","Katarzyna","Tubielewicz"
"31729","Arnis","Sauka"
"31730","Hartwig","Wagemeister"
"31731","Szymon","Grymek"
"31732","Tomasz","Kiczkowiak"
"31733","Zdzislaw","Przewlocki"
"31734","Jacek","Chróścielwski"
"31735","Wojciech","Witkowski"
"31736","Jacek","Krenz"
"31737","Robert","Hirsch"
"31738","Andrzej","Lisak"
"31739","Włodzimierz","Cichy"
"31740","Katarzyna","Mokwa"
"31741","Marek","Przyborski"
"31742","Jerzy","Pyrchla"
"31743","Tomasz","Seramak"
"31744","Katarzyna","Zasińska"
"31745","Beata","Majkowska-Marzec"
"31746","Jakub","Szulwic"
"31747","Marek","Makowski"
"31748","Eugeniusz","Bobinski"
"31749","Teofil","Piwecki"
"31750","Janusz","Zelazinski"
"31751","Wioleta","Błaszczak-Bąk"
"31752","Anna","Sobieraj-Żłobińska"
"31753","Mariusz","Kaczmarek"
"31754","Jędrzej","Nowak"
"31755","Jacek","Rumiński"
"31756","Jerzy","Wtorek"
"31757","Tomasz","Kocejko"
"31758","Piotr","Kowalik"
"31759","Artur","Janowski"
"31760","Jacek","Rapiński"
"31761","Zygmunt","Kurałowicz"
"31762","Michał","Wymysłowski"
"31763","Antoni","Kapuściński"
"31764","Julian","Szymański"
"31765","Teofil","Piwecki"
"31766","D.","Jasieński"
"31767","Agnieszka","Błażko"
"31768","Agnieszka","Błażko"
"31769","Agnieszka","Błażko"
"31770","Agnieszka","Błażko"
"31771","Agnieszka","Błażko"
"31772","Agnieszka","Błażko"
"31773","Agnieszka","Błażko"
"31774","Agnieszka","Błażko"
"31775","Teofil","Piwecki"
"31776","Agnieszka","Błażko"
"31777","Agnieszka","Błażko"
"31778","Jacek","Łubiński"
"31779","Paweł","Śliwiński"
"31780","Wojciech","Szudek"
"31781","Witold","Sterpejkowicz-Wersocki"
"31782","Grzegorz","Graff"
"31783","Jerzy","Jezierski"
"31784","Krause","Karolina"
"31785","Krzysztof","Matyjasik"
"31786","Paweł","Kowalewski"
"31787","Remigiusz","Duszyński"
"31788","Adam","Bolt"
"31789","Karolina","Życzkowska"
"31790","Agnieszka","Błażko"
"31791","Agnieszka","Błażko"
"31792","Agnieszka","Błażko"
"31793","Agnieszka","Błażko"
"31794","Agnieszka","Błażko"
"31795","Agnieszka","Błażko"
"31796","Jacek","Krenz"
"31797","Jacek","Krenz"
"31798","Daniel","Żyła"
"31799","Robert","Rynkiewicz"
"31800","Mariusz","Krzyżanowski"
"31801","Leszek","Dembkowski"
"31802","Zdzisław","Roznerski"
"31803","Roman","Szramka"
"31804","Janusz","Rachoń"
"31805","Sławomir","Makowiec"
"31806","Ryszard","Maciakowski"
"31807","Zbigniew","Kozakiewicz"
"31808","Jacek","Krenz"
"31809","Janusz","Gujski"
"31810","Izabela","Maria"
"31811","Janusz","Gujski"
"31812","Izabela","Maria"
"31813","Zenon","Michalowski"
"31814","Jerzy","Prejzner"
"31815","Lucyna","Nyka"
"31816","Izabela","Maria"
"31817","Janusz","Gujski"
"31818","Janusz","Gujski"
"31819","Janusz","Gujski"
"31820","Janusz","Gujski"
"31821","Janusz","Gujski"
"31822","Jerzy","Prejzner"
"31823","Jerzy","Prejzner"
"31824","Jerzy","Prejzner"
"31825","Jerzy","Prejzner"
"31826","Jerzy","Prejzner"
"31827","Ryszard","Maciakowski"
"31828","Marek","Kochanowski"
"31829","Teofil","Piwecki"
"31830","Zdzislaw","Przewlocki"
"31831","Andrzej","Tejchman"
"31832","Zdzislaw","Przewlocki"
"31833","Stefan","Wojtera"
