Article_Id,Article_Title,Article_Abstract_Text,Article_Keywords,Article_Year,Article_Authors,Article_Url
"11588","  Projekt nr N111415233: Badanie technologii informatycznych z wykorzystaniem systemów inteligentnych ","  ... ","  SYSTEMY INTELIGENTNE TECHNOLOGIA INFORMATYCZNA  ","2010","  Cezary Orłowski   ","   "
"11589","  Modelowanie teoretyczne wpływu sczepności międzywarstwowej na zachowanie się nawierzchni asfaltowych - Etap I ","  Opracowanie niniejsze wykonano na","  SCZEPNOŚĆ MIĘDZYWARSTWOWA  ","2011","  Józef Judycki  Mariusz Jaczewski   ","   "
"11590","  Parownik z przepływem wspomaganym siłami kapilarnymi i grawitacyjnymi ","  Parownik z przepływem wspomaganym siłami kapilarnymi i grawitacyjnymi ","  PAROWNIK WYMIENNIK CIEPŁA  ","2013","  Paweł Szymański   ","   "
"11591","  Emerging social urban movements in Poland - are the capable of instituting a systematic change in governance? ","  Prezentacja zawiera opis zjawiska polskich ruchów miejskich - jego genezę, w szczególności społeczne i polityczne uwarunkowania funkcjonowania Polski w warunkach post-transformacyjnych, szkicowy opis ich specyfiki oraz wymiar miejski. ","  PARTYCYPACJA SPOŁECZNA RUCHY MIEJSKIE  ","2014","  Łukasz Pancewicz   ","   "
"11592","  THE MANAGEMENT OF DESIGNING PROCESSES IN THE CREATION OF THE KNOWLEDGE BASE SYSTEM : Proceedings of International Computer Science Convention ","  ... ","  DESIGNING PROCESSES KNOWLEDGE SYSTEM  ","2013","  Cezary Orłowski   ","   "
"11593","  RADIOGRAFICZNE BADANIA PRZEMIESZCZEN GRUNTU W SKALI MODELOWEJ. ARCH. HYDROT.**1967 T. 14 Z. 4 S. 669-683, 8 RYS. BIBLIOGR. 4 POZ.// ","  ... ","    ","1967","  Andrzej Tejchman   ","   "
"11594","  System polityczny Białorusi ","  ...... ","  BIAŁORUŚ KONSTYTUCJA BIAŁORUSI PREZYDENT BIAŁORUSI SYSTEM POLITYCZNY SYSTEM POLITYCZNY BIAŁORUSI  ","2012","  Krystyna Gomółka   ","   "
"11595","  O kanalizacyjnej studzience rewizyjnej cz. II ","  Monolityczność rozwiązań. Problem wyboru beton czy żelbet. Wymagania w stosunku do betonu, aktualne normy. Zasady montażu. Studzienki kompozytowe, metalowe, z tworzyw termoplastycznych. Szczególne cechy w aspekcie współpracy z podłożem gruntowym. ","  KANALIZACJA KANALIZACYJNA STUDZIENKA REWIZYJNA ROZWIĄZANIA MATERIAŁOWE SZCZEGÓLNE WYMAGANIA  ","2012","  Ziemowit Suligowski   ","  http://www.ochrona.e-bmp.pl/o-kanalizacyjnej-studzience-rewizyjnej-cz-ii,5416,art.html "
"11596","  Mutual coupling of elliptical microstrip resonators ","  W artykule przedstawiono wyniki badań dotyczących wzajemnych sprzężeń w mikropaskowych promiennikach w kształcie prostokąta lub elipsy. W badaniach została wykorzystana dwuwymiarowa metoda przestrzeni widmowej, w której analizowane struktury oświetlane są pojedynczą falą płaską. ","  MICROSTRIP RESONATORS MUTUAL COUPLING SPECTRAL DOMAIN APPROACH  ","2012","  Włodzimierz Zieniutycz   ","  http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6206137 "
"11597","  Minimum length path decompositions ","  W pracy podejmujemy problem obliczania ścieżkowych dekompozycji grafu minimalizując jednocześnie jej szerokość oraz długuść. Pokazujemy, że problem znalezienia dekompozycji o minimalnej długości i o szerokości równej co najmniej 4 jest NP-zupełny. Z drugiej strony, podajemy wielomianowy algorytm obliczania dekompozycji o minimalnej długości i szerokości wynoszącej co najwyżej 3. ","  ALGORYTMICZNA TEORIA GRAFÓW PRZESZUKIWANIE GRAFÓW ZŁOŻONOŚĆ OBLICZENIOWA  ","2012","  Dariusz Dereniowski  Wiesław Kubiak  Yori Zwols   ","   "
